iter	Passed	Remaining
0	134	134072
1	134	67171
2	135	44883
3	135	33725
4	135	27023
5	136	22552
6	136	19362
7	136	16968
8	137	15109
9	137	13621
10	137	12405
11	138	11390
12	138	10530
13	139	9793
14	139	9153
15	139	8593
16	140	8100
17	140	7661
18	140	7268
19	141	6914
20	141	6595
21	141	6304
22	142	6041
23	142	5812
24	143	5590
25	143	5383
26	144	5192
27	144	5014
28	144	4847
29	145	4692
30	145	4551
31	145	4415
32	146	4292
33	146	4172
34	147	4058
35	147	3950
36	147	3848
37	148	3752
38	148	3661
39	149	3576
40	149	3495
41	149	3417
42	150	3345
43	150	3273
44	151	3204
45	151	3139
46	151	3076
47	152	3015
48	152	2958
49	152	2902
50	153	2849
51	153	2797
52	153	2747
53	154	2701
54	154	2656
55	155	2613
56	155	2571
57	155	2530
58	156	2490
59	156	2451
60	156	2413
61	157	2377
62	157	2342
63	157	2308
64	158	2277
65	158	2247
66	159	2217
67	159	2187
68	159	2158
69	160	2129
70	160	2102
71	161	2076
72	161	2050
73	161	2024
74	162	1999
75	162	1976
76	162	1952
77	163	1929
78	163	1906
79	163	1884
80	164	1863
81	164	1842
82	164	1820
83	165	1800
84	165	1781
85	165	1763
86	166	1745
87	166	1728
88	167	1710
89	167	1693
90	167	1676
91	168	1659
92	168	1643
93	168	1627
94	169	1611
95	169	1596
96	169	1581
97	170	1566
98	170	1552
99	171	1545
100	172	1532
101	172	1519
102	172	1505
103	173	1492
104	173	1479
105	173	1467
106	174	1454
107	174	1442
108	175	1430
109	175	1419
110	175	1407
111	176	1396
112	176	1384
113	176	1373
114	177	1363
115	177	1352
116	177	1342
117	178	1332
118	178	1322
119	178	1312
120	179	1302
121	179	1292
122	179	1283
123	180	1273
124	180	1264
125	181	1255
126	181	1246
127	181	1237
128	181	1228
129	182	1220
130	182	1211
131	183	1203
132	183	1195
133	183	1187
134	184	1183
135	185	1175
136	185	1168
137	185	1160
138	186	1153
139	186	1145
140	186	1138
141	187	1130
142	187	1124
143	187	1117
144	188	1110
145	188	1103
146	189	1096
147	189	1089
148	189	1083
149	190	1077
150	190	1071
151	190	1065
152	191	1059
153	191	1052
154	192	1046
155	192	1040
156	192	1034
157	193	1029
158	193	1023
159	193	1017
160	194	1011
161	194	1005
162	194	999
163	195	994
164	195	989
165	195	983
166	196	981
167	197	976
168	197	971
169	198	966
170	198	961
171	198	956
172	199	951
173	199	946
174	199	941
175	200	936
176	200	932
177	200	927
178	201	922
179	201	918
180	201	913
181	202	908
182	202	904
183	202	900
184	203	896
185	203	891
186	204	887
187	204	883
188	204	879
189	205	875
190	205	870
191	205	866
192	206	862
193	206	858
194	207	854
195	207	850
196	207	846
197	208	842
198	209	841
199	209	838
200	209	834
201	210	830
202	210	827
203	211	823
204	211	820
205	211	816
206	212	812
207	212	809
208	212	806
209	213	802
210	213	799
211	214	795
212	214	792
213	215	789
214	215	786
215	215	783
216	216	779
217	216	776
218	216	773
219	217	770
220	217	766
221	217	763
222	218	760
223	218	757
224	218	754
225	219	751
226	219	748
227	220	745
228	220	742
229	221	740
230	221	737
231	221	734
232	222	731
233	222	728
234	222	725
235	223	722
236	223	719
237	223	716
238	224	713
239	224	711
240	224	708
241	225	705
242	225	703
243	226	700
244	226	698
245	226	695
246	227	692
247	227	690
248	228	687
249	228	685
250	228	682
251	229	679
252	229	677
253	229	674
254	230	672
255	230	669
256	230	667
257	231	664
258	231	662
259	232	660
260	232	657
261	232	655
262	233	653
263	233	651
264	233	648
265	234	646
266	234	644
267	234	641
268	235	639
269	235	637
270	236	635
271	236	632
272	236	630
273	237	628
274	237	626
275	237	624
276	238	622
277	238	619
278	239	617
279	239	615
280	239	613
281	240	611
282	240	609
283	240	607
284	241	605
285	241	603
286	241	600
287	242	598
288	242	596
289	242	594
290	243	592
291	243	590
292	244	588
293	244	587
294	244	585
295	245	583
296	245	581
297	246	579
298	246	577
299	246	575
300	247	574
301	247	572
302	247	570
303	248	568
304	248	566
305	248	564
306	249	562
307	249	561
308	250	559
309	250	557
310	250	555
311	251	554
312	251	552
313	251	550
314	252	548
315	252	546
316	253	545
317	253	543
318	253	541
319	254	539
320	254	538
321	254	536
322	255	535
323	255	533
324	256	532
325	256	530
326	256	528
327	257	527
328	257	525
329	258	524
330	258	522
331	258	521
332	259	519
333	259	517
334	259	516
335	260	514
336	260	512
337	261	511
338	261	509
339	261	508
340	262	506
341	262	505
342	262	503
343	263	502
344	263	500
345	263	498
346	264	497
347	264	495
348	265	494
349	265	492
350	265	491
351	266	489
352	266	488
353	266	486
354	267	485
355	267	484
356	267	482
357	268	481
358	268	479
359	269	478
360	269	476
361	269	475
362	270	474
363	270	472
364	271	471
365	271	470
366	271	468
367	272	467
368	272	466
369	273	464
370	273	463
371	273	462
372	274	460
373	274	459
374	274	458
375	275	456
376	275	455
377	275	453
378	276	452
379	276	451
380	276	449
381	277	448
382	277	447
383	278	446
384	278	444
385	278	443
386	279	442
387	279	440
388	279	439
389	280	438
390	280	436
391	280	435
392	281	434
393	281	433
394	282	432
395	282	430
396	282	429
397	283	428
398	283	427
399	284	426
400	284	425
401	285	423
402	285	422
403	285	421
404	286	420
405	286	419
406	286	417
407	287	416
408	287	415
409	287	414
410	288	413
411	288	411
412	289	410
413	289	409
414	289	408
415	290	407
416	290	406
417	290	405
418	291	403
419	291	402
420	291	401
421	292	400
422	292	399
423	292	397
424	293	396
425	293	395
426	293	394
427	294	393
428	294	392
429	295	391
430	295	390
431	295	389
432	296	387
433	296	386
434	296	385
435	297	384
436	297	383
437	298	382
438	298	381
439	298	380
440	299	379
441	299	378
442	299	376
443	300	375
444	300	374
445	300	373
446	301	372
447	301	371
448	302	370
449	302	369
450	302	368
451	303	367
452	303	366
453	303	365
454	304	364
455	304	363
456	304	362
457	305	361
458	305	360
459	305	359
460	306	358
461	306	357
462	307	356
463	307	355
464	307	354
465	308	353
466	308	352
467	308	351
468	309	350
469	309	349
470	310	348
471	310	347
472	310	346
473	311	345
474	311	344
475	311	343
476	312	342
477	312	341
478	312	340
479	313	339
480	313	338
481	314	337
482	314	336
483	314	335
484	315	334
485	315	333
